Claim,Evidence,label
We should legalize prostitution,"Sullivan and Jeffries also wrote in the 2001 report that the legislation change of 1984 created new problems: Ongoing adjustments to legislation became necessary as state policy makers attempted to deal with a myriad of unforeseen issues that are not addressed by treating prostitution as commercial sex-child prostitution, trafficking of women, the exploitation and abuse of prostituted women by big business [REF].",1
We should further exploit sustainable energies,"Launched in April 2010, IEEE Transactions on Sustainable Energy is jointly published by IEEE's Industry Applications Society, Industrial Electronics Society, Instrumentation and Measurement Society, IEEE Oceanic Engineering Society, Power Electronics Society, Power & Energy Society, Photonics Society, and the Society on Social Implications of Technology.",0
We should subsidize recycling,"Among other things, Jayco was cited for its use of sustainable materials, waste reduction and recycling programs, reduction of harmful volatile compounds found in RV components, installation of efficient appliances and fixtures, use of energy-efficient design and construction, and utilization of renewable, clean energy.",0
We should subsidize public transportation,comments made during a Congressional hearing [REF]) because it contains specific features that are designed to encourage public transport use and differentiate the development from urban sprawl.,0
We should ban fishing,The Tanana Chiefs Conference of Alaska and the Lac du Flambeau Bank of Lake Superior Chippewa of Wisconsin have already included hunting and fishing as work activities for purposes of welfare distribution [REF].,1
We should abolish the two-party system,"Tower prevailed, 1,822,877 (54.7% of two-party vote) to Sanders's 1,511,948 (45.3% of two-party vote).",0
We should abolish marriage,The judge concluded that the right to marry is not absolute and has to be evaluated in the context of several other rights including the rights of society.,0
We should ban homeopathy,"The use of homeopathy as a preventive for serious infectious diseases is especially controversial,[REF] in the context of ill-founded public alarm over the safety of vaccines stoked by the anti-vaccination movement [REF].",0
We should limit genetic testing,The American Kennel Club does not recognize the use of DNA tests to determine breed [REF].,0
We should abandon feminism,"Opponents included Nadine Strossen, Betty Friedan, Adrienne Rich, Katha Pollitt, Karen DeCrow, Nora Ephron, Mary Gordon, Judy Blume, Jamaica Kincaid, Erica Jong, Susan Isaacs, and ""172 other feminist women""[REF] and Mary Morello.",0
